Time,mass A x axis,mass B x axis
4.233758E+00,-1.682352E-01,1.35013E-01
4.267095E+00,-1.758298E-01,1.404329E-01
4.300431E+00,-1.818866E-01,1.28595E-01
4.333768E+00,-1.867948E-01,9.536603E-02
4.367105E+00,-1.901752E-01,1.084674E-01
4.400441E+00,-1.91659E-01,1.156946E-01
4.433778E+00,-1.917389E-01,1.021607E-01
4.467115E+00,-1.906468E-01,7.473829E-02
4.500451E+00,-1.876989E-01,8.423632E-02
4.533788E+00,-1.833828E-01,8.969589E-02
4.567125E+00,-1.778586E-01,7.91524E-02
4.600461E+00,-1.708244E-01,6.690554E-02
4.633798E+00,-1.62759E-01,6.884465E-02
4.667135E+00,-1.535949E-01,7.120739E-02
4.700471E+00,-1.435234E-01,6.71264E-02
4.733808E+00,-1.332341E-01,7.540224E-02
4.767145E+00,-1.22768E-01,6.887164E-02
4.800482E+00,-1.123262E-01,6.70441E-02
4.833818E+00,-1.021762E-01,7.141649E-02
4.867155E+00,-9.222429E-02,9.918557E-02
4.900492E+00,-8.307367E-02,8.567704E-02
4.933828E+00,-7.473122E-02,7.982402E-02
4.967165E+00,-6.738607E-02,9.199426E-02
5.000502E+00,-6.132299E-02,1.308259E-01
5.033838E+00,-5.697586E-02,1.145776E-01
5.067175E+00,-5.357876E-02,1.06852E-01
5.100512E+00,-5.172118E-02,1.2275E-01
5.133848E+00,-5.145166E-02,1.584147E-01
5.167185E+00,-5.263734E-02,1.457357E-01
5.200522E+00,-5.54112E-02,1.386079E-01
5.233858E+00,-5.938652E-02,1.525764E-01
5.267195E+00,-6.424481E-02,1.725397E-01
5.300532E+00,-7.032945E-02,1.679303E-01
5.333868E+00,-7.725895E-02,1.639096E-01
5.367205E+00,-8.526977E-02,1.7092E-01
5.400542E+00,-9.383974E-02,1.675389E-01
5.433878E+00,-1.028926E-01,1.728912E-01
5.467215E+00,-1.122304E-01,1.734411E-01
5.500552E+00,-1.216318E-01,1.708122E-01
5.533888E+00,-1.310595E-01,1.450377E-01
5.567225E+00,-1.398688E-01,1.584955E-01
5.600562E+00,-1.485302E-01,1.637052E-01
5.633898E+00,-1.563791E-01,1.522957E-01
5.667235E+00,-1.631798E-01,1.122142E-01
5.700572E+00,-1.690141E-01,1.293459E-01
5.733908E+00,-1.737732E-01,1.37335E-01
5.767245E+00,-1.77305E-01,1.206282E-01
5.800582E+00,-1.795622E-01,7.915204E-02
5.833919E+00,-1.806753E-01,9.475186E-02
5.867255E+00,-1.804992E-01,1.033793E-01
5.900592E+00,-1.789513E-01,8.693476E-02
5.933929E+00,-1.756103E-01,5.800801E-02
5.967265E+00,-1.714014E-01,6.689063E-02
6.000602E+00,-1.659596E-01,7.253816E-02
6.033939E+00,-1.596417E-01,6.188136E-02
6.067275E+00,-1.525548E-01,5.58348E-02
6.100612E+00,-1.448932E-01,5.4157E-02
6.133949E+00,-1.364368E-01,5.53616E-02
6.167285E+00,-1.277175E-01,5.442899E-02
6.200622E+00,-1.189988E-01,7.488808E-02
6.233959E+00,-1.102122E-01,6.295964E-02
6.267295E+00,-1.021672E-01,5.861439E-02
6.300632E+00,-9.415722E-02,6.832515E-02
6.333969E+00,-8.704143E-02,1.094797E-01
6.367305E+00,-8.049071E-02,9.06982E-02
6.400642E+00,-7.460191E-02,8.246959E-02
6.433979E+00,-7.022878E-02,9.984998E-02
6.467315E+00,-6.704732E-02,1.474E-01
6.500652E+00,-6.482555E-02,1.287703E-01
6.533989E+00,-6.354287E-02,1.190244E-01
6.567325E+00,-6.357548E-02,1.385035E-01
6.600662E+00,-6.46801E-02,1.754863E-01
6.633999E+00,-6.72248E-02,1.634115E-01
6.667335E+00,-7.076919E-02,1.561706E-01
6.700672E+00,-7.543555E-02,1.699296E-01
6.734009E+00,-8.077437E-02,1.836537E-01
6.767345E+00,-8.695448E-02,1.823802E-01
6.800682E+00,-9.328721E-02,1.797258E-01
6.834019E+00,-1.006718E-01,1.835749E-01
6.867355E+00,-1.080833E-01,1.693095E-01
6.900692E+00,-1.155749E-01,1.791302E-01
6.934029E+00,-1.228619E-01,1.823709E-01
6.967366E+00,-1.304723E-01,1.750722E-01
7.000702E+00,-1.374241E-01,1.370298E-01
7.034039E+00,-1.439174E-01,1.550467E-01
7.067376E+00,-1.501374E-01,1.629859E-01
7.100712E+00,-1.554759E-01,1.463473E-01
7.134049E+00,-1.600085E-01,9.627191E-02
7.167386E+00,-1.634044E-01,1.16693E-01
7.200722E+00,-1.65809E-01,1.268086E-01
7.234059E+00,-1.672916E-01,1.064046E-01
7.267396E+00,-1.67637E-01,6.166329E-02
7.300732E+00,-1.668365E-01,7.73689E-02
7.334069E+00,-1.653469E-01,8.622946E-02
7.367406E+00,-1.627466E-01,6.896276E-02
7.400742E+00,-1.590011E-01,4.4076E-02
7.434079E+00,-1.544967E-01,5.021434E-02
7.467416E+00,-1.493651E-01,5.509611E-02
7.500752E+00,-1.433621E-01,4.648099E-02
7.534089E+00,-1.372745E-01,5.178498E-02
7.567426E+00,-1.308884E-01,4.482174E-02
7.600762E+00,-1.241489E-01,4.383191E-02
7.634099E+00,-1.177483E-01,4.753766E-02
7.667436E+00,-1.111687E-01,8.164157E-02
7.700772E+00,-1.049245E-01,6.409635E-02
7.734109E+00,-9.927917E-02,5.696806E-02
7.767446E+00,-9.40129E-02,7.220825E-02
7.800782E+00,-8.952738E-02,1.244067E-01
7.834119E+00,-8.570929E-02,1.022276E-01
7.867456E+00,-8.261957E-02,9.159684E-02
7.900792E+00,-8.038935E-02,1.134504E-01
7.934129E+00,-7.873392E-02,1.647379E-01
7.967466E+00,-7.824164E-02,1.460827E-01
8.000803E+00,-7.865102E-02,1.354437E-01
8.034139E+00,-7.97071E-02,1.558742E-01
8.067476E+00,-8.164377E-02,1.888058E-01
8.100813E+00,-8.415452E-02,1.795456E-01
8.134149E+00,-8.769968E-02,1.727283E-01
8.167486E+00,-9.169179E-02,1.847652E-01
8.200823E+00,-9.577546E-02,1.888652E-01
8.234159E+00,-1.004873E-01,1.921205E-01
8.267496E+00,-1.057154E-01,1.9137E-01
8.300833E+00,-1.108053E-01,1.910455E-01
8.334169E+00,-1.16356E-01,1.64245E-01
8.367506E+00,-1.217723E-01,1.790169E-01
8.400843E+00,-1.271213E-01,1.846388E-01
8.434179E+00,-1.321446E-01,1.725214E-01
8.467516E+00,-1.366043E-01,1.234751E-01
8.500853E+00,-1.405841E-01,1.452685E-01
8.534189E+00,-1.442048E-01,1.553208E-01
8.567526E+00,-1.472817E-01,1.346977E-01
8.600863E+00,-1.497822E-01,7.922805E-02
8.634199E+00,-1.515702E-01,1.009215E-01
8.667536E+00,-1.525641E-01,1.120766E-01
8.700873E+00,-1.529538E-01,8.955611E-02
8.734209E+00,-1.526232E-01,4.673961E-02
8.767546E+00,-1.513378E-01,6.072481E-02
8.800883E+00,-1.495128E-01,6.97741E-02
8.834219E+00,-1.471199E-01,5.319871E-02
8.867556E+00,-1.441204E-01,3.746651E-02
8.900893E+00,-1.406255E-01,3.874795E-02
8.934229E+00,-1.366414E-01,4.188861E-02
8.967566E+00,-1.322299E-01,3.717251E-02
9.000903E+00,-1.277852E-01,5.537632E-02
9.03424E+00,-1.2341E-01,4.304703E-02
9.067576E+00,-1.190608E-01,3.938944E-02
9.100913E+00,-1.150602E-01,4.820705E-02
9.13425E+00,-1.110596E-01,9.448117E-02
9.167586E+00,-1.070892E-01,7.30463E-02
9.200923E+00,-1.038032E-01,6.340851E-02
9.23426E+00,-1.010137E-01,8.343924E-02
9.267596E+00,-9.851952E-02,1.416042E-01
9.300933E+00,-9.669738E-02,1.182212E-01
9.33427E+00,-9.520072E-02,1.060488E-01
9.367606E+00,-9.438397E-02,1.300274E-01
9.400943E+00,-9.392047E-02,1.79685E-01
9.43428E+00,-9.395121E-02,1.625383E-01
9.467616E+00,-9.465284E-02,1.523784E-01
9.500953E+00,-9.592893E-02,1.716912E-01
9.53429E+00,-9.715245E-02,1.963985E-01
9.567626E+00,-9.887453E-02,1.911487E-01
9.600963E+00,-1.011901E-01,1.859058E-01
9.6343E+00,-1.035917E-01,1.946796E-01
9.667636E+00,-1.064205E-01,1.867909E-01
9.700973E+00,-1.092836E-01,1.949583E-01
9.73431E+00,-1.12315E-01,1.965556E-01
9.767646E+00,-1.152862E-01,1.91646E-01
9.800983E+00,-1.184091E-01,1.535796E-01
9.83432E+00,-1.2108E-01,1.728011E-01
9.867656E+00,-1.238346E-01,1.804327E-01
9.900993E+00,-1.263843E-01,1.639437E-01
9.93433E+00,-1.288389E-01,1.072541E-01
9.967666E+00,-1.310007E-01,1.314223E-01
1.0001E+01,-1.326802E-01,1.428146E-01
1.003434E+01,-1.343844E-01,1.194334E-01
1.006768E+01,-1.356342E-01,6.329938E-02
1.010101E+01,-1.364764E-01,8.358945E-02
1.013435E+01,-1.366103E-01,9.520477E-02
1.016769E+01,-1.363718E-01,7.286677E-02
1.020102E+01,-1.358833E-01,3.65862E-02
1.023436E+01,-1.351072E-01,4.674632E-02
1.02677E+01,-1.33845E-01,5.431097E-02
1.030103E+01,-1.322621E-01,4.083984E-02
1.033437E+01,-1.305702E-01,3.751144E-02
1.036771E+01,-1.289889E-01,3.34084E-02
1.040104E+01,-1.273049E-01,3.407647E-02
1.043438E+01,-1.256896E-01,3.456425E-02
1.046772E+01,-1.239531E-01,6.520787E-02
1.050105E+01,-1.219363E-01,4.849336E-02
1.053439E+01,-1.201401E-01,4.234563E-02
1.056773E+01,-1.188094E-01,5.644983E-02
1.060106E+01,-1.173106E-01,1.108884E-01
1.06344E+01,-1.161584E-01,8.675815E-02
1.066774E+01,-1.148542E-01,7.568697E-02
1.070107E+01,-1.138057E-01,9.837004E-02
1.073441E+01,-1.127961E-01,1.57156E-01
1.076775E+01,-1.11703E-01,1.345418E-01
1.080108E+01,-1.110274E-01,1.226072E-01
1.083442E+01,-1.103803E-01,1.463036E-01
1.086776E+01,-1.101456E-01,1.894922E-01
1.090109E+01,-1.099739E-01,1.758852E-01
1.093443E+01,-1.097018E-01,1.668431E-01
1.096777E+01,-1.095324E-01,1.832122E-01
1.10011E+01,-1.095561E-01,1.976082E-01
1.103444E+01,-1.097315E-01,1.969421E-01
1.106778E+01,-1.098934E-01,1.939959E-01
1.110111E+01,-1.102446E-01,1.977448E-01
1.113445E+01,-1.110406E-01,1.784048E-01
1.116779E+01,-1.116077E-01,1.909488E-01
1.120112E+01,-1.125418E-01,1.948675E-01
1.123446E+01,-1.132418E-01,1.853923E-01
1.12678E+01,-1.141063E-01,1.381556E-01
1.130113E+01,-1.147394E-01,1.603459E-01
1.133447E+01,-1.156923E-01,1.697358E-01
1.136781E+01,-1.163574E-01,1.494878E-01
1.140114E+01,-1.171337E-01,9.007619E-02
1.143448E+01,-1.180869E-01,1.138816E-01
1.146782E+01,-1.1882E-01,1.260166E-01
1.150115E+01,-1.19715E-01,1.015393E-01
1.153449E+01,-1.204098E-01,5.035586E-02
1.156783E+01,-1.2102E-01,6.807584E-02
1.160116E+01,-1.215684E-01,7.866208E-02
1.16345E+01,-1.223174E-01,5.84573E-02
1.166784E+01,-1.228074E-01,3.301687E-02
1.170117E+01,-1.23556E-01,3.835868E-02
1.173451E+01,-1.241059E-01,4.381652E-02
1.176785E+01,-1.244988E-01,3.515788E-02
1.180118E+01,-1.251746E-01,4.424843E-02
1.183452E+01,-1.257082E-01,3.535141E-02
1.186786E+01,-1.264783E-01,3.352976E-02
1.190119E+01,-1.270412E-01,3.90134E-02
1.193453E+01,-1.27751E-01,7.97416E-02
1.196787E+01,-1.282119E-01,5.973714E-02
1.20012E+01,-1.284587E-01,5.134141E-02
1.203454E+01,-1.288858E-01,6.940519E-02
1.206788E+01,-1.290983E-01,1.273233E-01
1.210121E+01,-1.29141E-01,1.0313E-01
1.213455E+01,-1.28885E-01,9.13523E-02
1.216789E+01,-1.284994E-01,1.150549E-01
1.220122E+01,-1.280127E-01,1.699677E-01
1.223456E+01,-1.270972E-01,1.499267E-01
1.22679E+01,-1.263198E-01,1.386267E-01
1.230123E+01,-1.249576E-01,1.603047E-01
1.233457E+01,-1.234864E-01,1.940951E-01
1.236791E+01,-1.218761E-01,1.8477E-01
1.240124E+01,-1.201901E-01,1.780171E-01
1.243458E+01,-1.185371E-01,1.903642E-01
1.246792E+01,-1.169594E-01,1.924245E-01
1.250125E+01,-1.149384E-01,1.96544E-01
1.253459E+01,-1.131326E-01,1.961847E-01
1.256793E+01,-1.114819E-01,1.955468E-01
1.260126E+01,-1.098988E-01,1.654258E-01
1.26346E+01,-1.08228E-01,1.817738E-01
1.266794E+01,-1.065649E-01,1.880431E-01
1.270127E+01,-1.05306E-01,1.744606E-01
1.273461E+01,-1.041185E-01,1.215008E-01
