Time (s),Mass A X (m),Mass A Y (m),Mass B X (m),Mass B Y (m)
3.133646,-0.02985669,0.0001392029,0.02727445,-0.0008842218
3.166983,-0.02982628,0.0001369834,0.02714317,-0.0009104992
3.20032,-0.02980514,0.0001378635,0.02692897,-0.0009026109
3.233656,-0.02979525,0.0001205718,0.02678895,-0.0009281175
3.266993,-0.02980566,0.0001564485,0.02663555,-0.0009407292
3.30033,-0.02983359,0.000174437,0.02636851,-0.001002964
3.333666,-0.02984964,0.0001564444,0.02614322,-0.001069534
3.367003,-0.02985034,0.0001737732,0.02601331,-0.001048209
3.40034,-0.02984116,0.0001684716,0.0259301,-0.001080309
3.433676,-0.02982404,0.0001485272,0.02592313,-0.001149892
3.467013,-0.02981378,0.0001556561,0.02591684,-0.001149443
3.50035,-0.02983763,0.0001641176,0.02596708,-0.001149087
3.533686,-0.02986146,0.0001808085,0.02604798,-0.00113686
3.567023,-0.02989253,0.000180176,0.02612801,-0.001131008
3.60036,-0.02996165,0.000184932,0.02610475,-0.001167099
3.633696,-0.02999304,0.0001751218,0.02606647,-0.001173976
3.667033,-0.02997014,0.000153924,0.02605249,-0.001183892
3.70037,-0.02999253,0.0001653235,0.02607457,-0.00116265
3.733706,-0.02997574,0.0001707092,0.02610147,-0.001161259
3.767043,-0.02996033,0.0001493212,0.02612555,-0.001126906
3.80038,-0.02995033,0.0001363664,0.02615441,-0.001124955
3.833716,-0.02995518,0.0001462692,0.02624034,-0.001113331
3.867053,-0.02996424,0.0001773822,0.02634657,-0.001099638
3.90039,-0.02993477,0.0001475068,0.02641188,-0.001106599
3.933726,-0.02993227,0.0001649469,0.0264089,-0.001107605
3.967063,-0.0299058,0.000159572,0.02637337,-0.001127886
4.0004,-0.02982831,0.0001281992,0.02635505,-0.001145793
4.033736,-0.02970676,0.0001009214,0.02637345,-0.001168661
4.067073,-0.02972952,0.0001512333,0.02634572,-0.001169636
4.10041,-0.02971976,0.000140049,0.02630805,-0.001202291
4.133746,-0.02975158,0.0001388203,0.02626436,-0.001198954
4.167083,-0.02979661,0.0001558167,0.02622305,-0.001165019
4.20042,-0.02981893,0.0001763224,0.02626395,-0.001101129
4.233756,-0.02983313,0.0001850669,0.0263943,-0.00107495
4.267093,-0.02981106,0.0001973792,0.02651569,-0.001014233
4.30043,-0.02978307,0.0001605871,0.02660756,-0.0009976193
4.333766,-0.02976851,0.0001576377,0.02675211,-0.0009411444
4.367103,-0.02977994,0.0001583456,0.02692841,-0.0009378671
4.40044,-0.02982728,0.0002070637,0.02709746,-0.0009337345
4.433776,-0.02985276,0.0001896644,0.02725402,-0.0009182979
4.467113,-0.02977801,0.0001445099,0.02736154,-0.0008927828
4.50045,-0.02970751,0.0001176842,0.02741901,-0.0008703914
4.533786,-0.02970246,0.000135132,0.0274713,-0.0008327844
4.567123,-0.029754,0.0001762869,0.02757422,-0.0008058076
4.60046,-0.02977489,0.0001383773,0.02757096,-0.0008184161
4.633796,-0.02974793,9.807412e-05,0.02754554,-0.0008525776
4.667133,-0.02976547,0.0001340898,0.02752884,-0.0008617285
4.70047,-0.02980463,0.0001680726,0.02754431,-0.0008454808
4.733806,-0.0298056,0.0001356905,0.02756464,-0.0008415118
4.767143,-0.02984094,0.0001497063,0.02760009,-0.0008379226
4.80048,-0.02984987,0.0001783597,0.02765814,-0.0007867035
4.833816,-0.02904325,8.080827e-05,0.02708606,-0.0008891518
4.867153,-0.02631469,-0.0006128902,0.02480171,-0.001432727
4.90049,-0.02223241,-0.001256872,0.02144024,-0.001763996
4.933826,-0.01827819,-0.00140777,0.01827896,-0.001907378
